OBJECTID,hohe,flaeche,dachflaeche,volume,buildup,imprevious,grass,baeumedichte,DGM,NDVI
57622.0,6.603666782,139.5052397,166.7746265,1141.385599,1.0,34.0,0.0,0.0,415.8702698,0.538998246
41012.0,14.45950031,361.3606179,474.3805932,6570.921364,1.0,100.0,0.0,0.0,294.8812561,0.400450319
62454.0,7.267833233,122.7081977,182.4284522,1068.214371,0.0,20.0,0.0,0.0,340.6152649,0.709702313
66023.0,9.631500244,155.1241628,182.7064266,1490.722054,1.0,45.0,0.0,0.0,348.8512573,0.615760684
74981.0,5.18900013,0.2294397,0.243205995,1.190562602,0.0,19.0,0.0,46.0,298.7967529,0.41734758
35840.0,12.1590004,217.8622742,251.6687423,2658.498063,1.0,71.0,0.0,0.0,346.506012,0.446173489
107333.0,4.199999809,25.901,28.34000015,108.7842,1.0,36.0,0.0,0.0,313.73526,0.62482208
77367.0,3.0,1.4005275,1.400527512,4.2015825,0.0,0.0,0.0,49.0,382.5740356,0.743267834
72946.0,5.508333206,123.9707853,152.2292293,1363.33684,1.0,40.0,0.0,0.0,292.6692505,0.512207568
14689.0,4.624000072,51.9840984,59.68269518,240.374471,0.0,25.0,0.0,40.0,351.7520142,0.61735636
54490.0,2.423500061,48.6880348,48.90401104,118.0042485,0.0,42.0,0.0,0.0,352.0755005,0.556108654
4674.0,7.128499985,232.8841712,252.9125018,2184.877131,0.0,12.0,0.0,42.0,315.0047607,0.563523114
38327.0,8.68599987,131.436972,131.7415313,1098.008459,1.0,100.0,0.0,0.0,289.5310059,0.289575815
18163.0,3.651000023,21.0111327,23.57404366,75.2027552,0.0,39.0,0.0,0.0,296.1255188,0.644481361
102177.0,8.43900013,102.2770827,102.7404933,863.1163013,0.0,54.0,0.0,0.0,320.1697693,0.499388069
4728.0,3.282999992,57.23707909,57.23694307,187.9093307,0.0,51.0,0.0,0.0,315.71875,0.479982346
69198.0,27.54999924,400.0,400.4314975,11020.0,1.0,100.0,0.0,0.0,291.885498,0.277292848
39980.0,13.34000015,3.546007101,5.512756774,47.30373473,0.0,13.0,0.0,52.0,291.2655029,0.476000011
99816.0,5.829999924,0.05205,0.052307384,0.303451502,0.0,3.0,0.0,57.0,291.4097595,0.696656108
86070.0,7.789000034,82.90067785,93.90097617,807.2420224,1.0,57.0,0.0,0.0,306.480011,0.540581584
86339.0,11.24450016,31.82529899,31.82532079,379.8391148,0.0,53.0,0.0,0.0,292.4035034,0.502097428
43613.0,10.02000046,26.24088005,32.15886238,262.9336181,0.0,52.0,0.0,0.0,339.8922729,0.596214652
29797.0,6.062666893,11.68047455,15.1385472,88.95122732,0.0,13.0,1.0,0.0,319.3775024,0.555344641
15337.0,4.800000191,165.489475,165.4889011,1007.365747,0.0,74.0,0.0,0.0,344.0595093,0.382860601
102647.0,7.139999866,16.2286154,19.2840881,115.8723139,0.0,21.0,0.0,0.0,326.4095154,0.630932271
79867.0,4.53674984,30.98363085,33.66474942,138.7884303,0.0,77.0,0.0,0.0,289.5780029,0.323421031
41121.0,14.1260004,0.368580555,0.440167042,5.206568917,0.0,4.0,0.0,59.0,352.2255249,0.764262736
82763.0,6.652999878,31.92892065,45.48031936,306.6826509,0.0,23.0,0.0,0.0,360.9072876,0.573201299
15297.0,2.599999905,29.5328,29.53300095,76.78528,0.0,0.0,0.0,62.0,373.2772827,0.754621446
77126.0,18.58049965,125.0903605,179.8839116,2326.116843,1.0,88.0,0.0,0.0,291.5735168,0.429304242
18865.0,12.53999996,23.10488455,27.49280429,289.7352522,1.0,100.0,0.0,0.0,290.1237793,0.280036241
43696.0,6.96333313,29.23213145,29.81793575,247.1006962,0.0,4.0,0.0,61.0,307.3410034,0.727836192
35857.0,5.833000183,40.28076296,51.02485841,359.9182812,0.0,45.0,0.0,0.0,324.0327759,0.306804687
11786.0,6.730999947,105.5317848,114.1624384,781.2016539,0.0,0.0,0.0,0.0,329.6590271,0.573634386
35791.0,11.14999962,23.8641066,31.66951942,266.0847886,1.0,72.0,0.0,0.0,329.5092773,0.559320748
29325.0,3.306999922,5.685980111,5.70952474,18.80353623,0.0,32.0,0.0,0.0,290.0290222,0.588106215
